  senzor               , V(U2B:OUT)           , V(U2A:OUT)           
  3.000000000000e+003  ,3.852183603982e-003  ,2.001956356283e+000  
  4.000000000000e+003  ,1.623324707511e+000  ,2.668442377378e+000  
  5.000000000000e+003  ,3.241761829708e+000  ,3.334502376090e+000  
  6.000000000000e+003  ,4.859153696722e+000  ,4.000132297100e+000  
  7.000000000000e+003  ,6.475490302508e+000  ,4.665328023814e+000  
  8.000000000000e+003  ,8.090787337030e+000  ,5.330085379074e+000  
  9.000000000000e+003  ,9.704983102727e+000  ,5.994400226021e+000  
  1.000000000000e+004  ,1.131809247088e+001  ,6.658268063979e+000  
  1.100000000000e+004  ,1.293010543832e+001  ,7.321684773958e+000  
  1.200000000000e+004  ,1.454101057108e+001  ,7.984645655313e+000  
  1.300000000000e+004  ,1.615079727125e+001  ,8.647146369056e+000  
