  senzor               , V(R15:2)             
  3.000000000000e+003  ,1.693566746341e-001  
  3.010000000000e+003  ,1.693582519358e-001  
  3.020000000000e+003  ,1.693598244352e-001  
  3.030000000000e+003  ,1.693613921301e-001  
  3.040000000000e+003  ,1.693629770193e-001  
  3.050000000000e+003  ,1.693645424102e-001  
  3.060000000000e+003  ,1.693661275043e-001  
  3.070000000000e+003  ,1.693676931238e-001  
  3.080000000000e+003  ,1.693692783284e-001  
  3.090000000000e+003  ,1.693708440566e-001  
  3.100000000000e+003  ,1.693724294853e-001  
  3.110000000000e+003  ,1.693739954622e-001  
  3.120000000000e+003  ,1.693755809927e-001  
  3.130000000000e+003  ,1.693771470783e-001  
  3.140000000000e+003  ,1.693787328420e-001  
  3.150000000000e+003  ,1.693802991611e-001  
  3.160000000000e+003  ,1.693818850332e-001  
  3.170000000000e+003  ,1.693834514611e-001  
  3.180000000000e+003  ,1.693850375665e-001  
  3.190000000000e+003  ,1.693866042280e-001  
  3.200000000000e+003  ,1.693881904418e-001  
  3.210000000000e+003  ,1.693897572121e-001  
  3.220000000000e+003  ,1.693913436593e-001  
  3.230000000000e+003  ,1.693929106633e-001  
  3.240000000000e+003  ,1.693944972189e-001  
  3.250000000000e+003  ,1.693960643319e-001  
  3.260000000000e+003  ,1.693976511210e-001  
  3.270000000000e+003  ,1.693992184677e-001  
  3.280000000000e+003  ,1.694008053653e-001  
  3.290000000000e+003  ,1.694023728210e-001  
  3.300000000000e+003  ,1.694039599522e-001  
  3.310000000000e+003  ,1.694055276417e-001  
  3.320000000000e+003  ,1.694071148815e-001  
  3.330000000000e+003  ,1.694086826801e-001  
  3.340000000000e+003  ,1.694102701534e-001  
  3.350000000000e+003  ,1.694118381859e-001  
  3.360000000000e+003  ,1.694134257679e-001  
  3.370000000000e+003  ,1.694149939096e-001  
  3.380000000000e+003  ,1.694165817253e-001  
  3.390000000000e+003  ,1.694181501009e-001  
  3.400000000000e+003  ,1.694197380253e-001  
  3.410000000000e+003  ,1.694213065101e-001  
  3.420000000000e+003  ,1.694228946683e-001  
  3.430000000000e+003  ,1.694244633871e-001  
  3.440000000000e+003  ,1.694260516542e-001  
  3.450000000000e+003  ,1.694276204823e-001  
  3.460000000000e+003  ,1.694292089831e-001  
  3.470000000000e+003  ,1.694307780453e-001  
  3.480000000000e+003  ,1.694323666550e-001  
  3.490000000000e+003  ,1.694339358266e-001  
  3.500000000000e+003  ,1.694355246702e-001  
  3.510000000000e+003  ,1.694370940759e-001  
  3.520000000000e+003  ,1.694386830285e-001  
  3.530000000000e+003  ,1.694402525437e-001  
  3.540000000000e+003  ,1.694418417302e-001  
  3.550000000000e+003  ,1.694434114796e-001  
  3.560000000000e+003  ,1.694450007751e-001  
  3.570000000000e+003  ,1.694465706341e-001  
  3.580000000000e+003  ,1.694481601636e-001  
  3.590000000000e+003  ,1.694497302568e-001  
  3.600000000000e+003  ,1.694513198955e-001  
  3.610000000000e+003  ,1.694528900983e-001  
  3.620000000000e+003  ,1.694544799711e-001  
  3.630000000000e+003  ,1.694560504083e-001  
  3.640000000000e+003  ,1.694576403902e-001  
  3.650000000000e+003  ,1.694592109371e-001  
  3.660000000000e+003  ,1.694608011531e-001  
  3.670000000000e+003  ,1.694623719344e-001  
  3.680000000000e+003  ,1.694639622598e-001  
  3.690000000000e+003  ,1.694655331508e-001  
  3.700000000000e+003  ,1.694671237103e-001  
  3.710000000000e+003  ,1.694686948359e-001  
  3.720000000000e+003  ,1.694702855048e-001  
  3.730000000000e+003  ,1.694718567401e-001  
  3.740000000000e+003  ,1.694734476433e-001  
  3.750000000000e+003  ,1.694750191132e-001  
  3.760000000000e+003  ,1.694766101258e-001  
  3.770000000000e+003  ,1.694781817056e-001  
  3.780000000000e+003  ,1.694797729526e-001  
  3.790000000000e+003  ,1.694813447719e-001  
  3.800000000000e+003  ,1.694829361237e-001  
  3.810000000000e+003  ,1.694845080529e-001  
  3.820000000000e+003  ,1.694860996392e-001  
  3.830000000000e+003  ,1.694876718032e-001  
  3.840000000000e+003  ,1.694892634990e-001  
  3.850000000000e+003  ,1.694908357730e-001  
  3.860000000000e+003  ,1.694924277033e-001  
  3.870000000000e+003  ,1.694940002121e-001  
  3.880000000000e+003  ,1.694955922521e-001  
  3.890000000000e+003  ,1.694971648709e-001  
  3.900000000000e+003  ,1.694987571455e-001  
  3.910000000000e+003  ,1.695003299992e-001  
  3.920000000000e+003  ,1.695019223834e-001  
  3.930000000000e+003  ,1.695034953474e-001  
  3.940000000000e+003  ,1.695050879663e-001  
  3.950000000000e+003  ,1.695066611651e-001  
  3.960000000000e+003  ,1.695082538937e-001  
  3.970000000000e+003  ,1.695098272029e-001  
  3.980000000000e+003  ,1.695114201662e-001  
  3.990000000000e+003  ,1.695129937103e-001  
  4.000000000000e+003  ,1.695145867835e-001  
  4.010000000000e+003  ,1.695161604380e-001  
  4.020000000000e+003  ,1.695177537460e-001  
  4.030000000000e+003  ,1.695193276354e-001  
  4.040000000000e+003  ,1.695209210533e-001  
  4.050000000000e+003  ,1.695224950532e-001  
  4.060000000000e+003  ,1.695240887060e-001  
  4.070000000000e+003  ,1.695256629410e-001  
  4.080000000000e+003  ,1.695272567037e-001  
  4.090000000000e+003  ,1.695288310493e-001  
  4.100000000000e+003  ,1.695304250470e-001  
  4.110000000000e+003  ,1.695319996277e-001  
  4.120000000000e+003  ,1.695335937354e-001  
  4.130000000000e+003  ,1.695351684267e-001  
  4.140000000000e+003  ,1.695367627694e-001  
  4.150000000000e+003  ,1.695383376959e-001  
  4.160000000000e+003  ,1.695399321488e-001  
  4.170000000000e+003  ,1.695415071860e-001  
  4.180000000000e+003  ,1.695431018739e-001  
  4.190000000000e+003  ,1.695446771464e-001  
  4.200000000000e+003  ,1.695462719445e-001  
  4.210000000000e+003  ,1.695478473277e-001  
