  senzor               , -I(Rs)               
  3.000000000000e+003  ,6.673500170822e-004  
  4.000000000000e+003  ,6.671403495895e-004  
  5.000000000000e+003  ,6.669293603033e-004  
  6.000000000000e+003  ,6.667170343491e-004  
  7.000000000000e+003  ,6.665033565988e-004  
  8.000000000000e+003  ,6.662883115986e-004  
  9.000000000000e+003  ,6.660718960540e-004  
  1.000000000000e+004  ,6.658540705975e-004  
  1.100000000000e+004  ,6.656348458361e-004  
  1.200000000000e+004  ,6.654141794826e-004  
  1.300000000000e+004  ,6.651920709079e-004  
