  senzor               , V(Rs:2)              
  3.000000000000e+003  ,2.002050051247e+000  
  4.000000000000e+003  ,2.668561398358e+000  
  5.000000000000e+003  ,3.334646801517e+000  
  6.000000000000e+003  ,4.000302206094e+000  
  7.000000000000e+003  ,4.665523496192e+000  
  8.000000000000e+003  ,5.330306492789e+000  
  9.000000000000e+003  ,5.994647064486e+000  
  1.000000000000e+004  ,6.658540705975e+000  
  1.100000000000e+004  ,7.321983304197e+000  
  1.200000000000e+004  ,7.984970153791e+000  
  1.300000000000e+004  ,8.647496921803e+000  
