  senzor               , V(U2A:OUT)           , V(Q1:c)              
  3.000000000000e+003  ,2.001956356283e+000  ,2.002050051247e+000  
  4.000000000000e+003  ,2.668442377378e+000  ,2.668561398358e+000  
  5.000000000000e+003  ,3.334502376090e+000  ,3.334646801517e+000  
  6.000000000000e+003  ,4.000132297100e+000  ,4.000302206094e+000  
  7.000000000000e+003  ,4.665328023814e+000  ,4.665523496192e+000  
  8.000000000000e+003  ,5.330085379074e+000  ,5.330306492789e+000  
  9.000000000000e+003  ,5.994400226021e+000  ,5.994647064486e+000  
  1.000000000000e+004  ,6.658268063979e+000  ,6.658540705975e+000  
  1.100000000000e+004  ,7.321684773958e+000  ,7.321983304197e+000  
  1.200000000000e+004  ,7.984645655313e+000  ,7.984970153791e+000  
  1.300000000000e+004  ,8.647146369056e+000  ,8.647496921803e+000  
